DBN,School Name,Borough, District,School Type,Split Sited,Co-located at Any Site,Total Enrollment,Grades 3K-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiracial,% Native American,% White,% Missing Race/Ethnicity Data,% SWD,% ELL,% Poverty,2024-25 ELA # Tested,2024-25 ELA # Proficient (L3&4),2024-25 ELA % Proficient (L3&4),2024-25 Math # Tested,2024-25 Math # Proficient (L3&4),2024-25 Math % Proficient (L3&4),2023-24 Total 4-year August Grad Cohort,2023-24 % 4-year August Graduates,2023-24 Total 6-year Grad Cohort,2023-24 % 6-year Graduates
01M015,P.S. 015 Roberto Clemente,M,01,Elementary,,Y,159,159,0,0,8.8%,21.4%,62.3%,3.8%,0.6%,3.1%,0.0%,25.2%,6.9%,91.2%,70,47,67.1%,72,43,59.7%,,,,
01M063,The STAR Academy - P.S.63,M,01,Elementary,,Y,196,196,0,0,3.1%,15.8%,69.4%,1.0%,0.0%,10.7%,0.0%,35.7%,13.8%,79.1%,49,21,42.9%,58,15,25.9%,,,,
01M064,P.S. 064 Robert Simon,M,01,Elementary,,Y,149,149,0,0,0.7%,23.5%,67.8%,2.0%,0.7%,4.7%,0.7%,29.5%,7.4%,85.2%,59,24,40.7%,61,24,39.3%,,,,
01M142,P.S. 142 Amalia Castro,M,01,Elementary,,Y,365,365,0,0,0.8%,15.9%,77.5%,1.6%,1.9%,2.2%,0.0%,29.3%,16.7%,91.8%,93,43,46.2%,92,42,45.7%,,,,
01M188,P.S. 188 The Island School,M,01,K-8,,Y,344,189,155,0,2.3%,24.7%,68.9%,0.9%,1.7%,1.5%,0.0%,31.7%,23.5%,Above 95%,247,124,50.2%,197,134,68.0%,,,,
01M292,Orchard Collegiate Academy,M,01,High school,,Y,258,0,0,258,14.7%,21.7%,57.4%,0.4%,1.6%,4.3%,0.0%,30.6%,4.3%,87.6%,,,0.0%,,,,75,93.3%,61,96.7%
01M332,University Neighborhood Middle School,M,01,Junior High-Intermediate-Middle,,Y,134,0,134,0,2.2%,20.1%,70.9%,0.7%,0.7%,5.2%,0.0%,46.3%,14.2%,93.3%,112,50,44.6%,85,19,22.4%,,,,
01M361,The Children's Workshop School,M,01,Elementary,,Y,274,274,0,0,7.3%,8.8%,35.8%,9.5%,1.1%,37.6%,0.0%,24.1%,5.5%,51.1%,106,72,67.9%,105,63,60.0%,,,,
01M363,Neighborhood School,M,01,Elementary,,Y,213,213,0,0,4.7%,9.9%,35.2%,7.0%,0.9%,42.3%,0.0%,29.1%,3.8%,44.6%,10,s,70.0%,10,s,30.0%,,,,
01M364,Earth School,M,01,Elementary,,Y,176,176,0,0,3.4%,9.7%,50.6%,10.2%,0.0%,26.1%,0.0%,31.3%,4.0%,61.9%,40,24,60.0%,39,15,38.5%,,,,
01M378,School for Global Leaders,M,01,Junior High-Intermediate-Middle,,Y,152,0,152,0,7.9%,13.8%,63.8%,3.3%,2.6%,8.6%,0.0%,32.2%,20.4%,86.8%,137,66,48.2%,144,90,62.5%,,,,
01M458,Forsyth Satellite Academy,M,01,Transfer High school,,Y,180,0,0,180,2.8%,34.4%,59.4%,0.6%,0.0%,2.8%,0.0%,38.9%,8.3%,90.0%,,,0.0%,,,,100,32.0%,51,52.9%
01M515,Lower East Side Preparatory High School,M,01,Transfer High school,,Y,564,0,0,564,28.5%,12.6%,55.9%,0.4%,0.4%,2.3%,0.0%,9.4%,64.4%,89.2%,,,0.0%,,,,90,46.7%,152,46.7%
01M650,Cascades High School,M,01,Transfer High school,,Y,148,0,0,148,3.4%,39.9%,52.0%,0.7%,0.7%,3.4%,0.0%,39.9%,4.7%,92.6%,,,0.0%,,,,75,38.7%,56,53.6%
01M839,Tompkins Square Middle School,M,01,Junior High-Intermediate-Middle,,Y,293,0,293,0,7.8%,14.7%,58.4%,2.4%,0.3%,16.4%,0.0%,36.9%,2.4%,74.1%,243,117,48.1%,209,85,40.7%,,,,
02M033,P.S. 033 Chelsea Prep,M,02,Elementary,,Y,605,605,0,0,16.7%,15.5%,41.0%,7.1%,1.0%,18.7%,0.0%,15.5%,20.8%,59.7%,257,162,63.0%,272,161,59.2%,,,,
02M040,P.S. 040 Augustus Saint-Gaudens,M,02,Elementary,,Y,538,538,0,0,11.2%,3.5%,15.6%,13.4%,0.4%,55.8%,0.2%,20.6%,2.6%,15.8%,274,237,86.5%,277,243,87.7%,,,,
02M047,47 The American Sign Language and English Secondary School,M,02,High school,,Y,148,0,0,148,4.7%,15.5%,72.3%,1.4%,0.7%,5.4%,0.0%,27.7%,8.8%,89.2%,,,0.0%,,,,40,100.0%,65,100.0%
02M051,P.S. 051 Elias Howe,M,02,Elementary,,Y,444,444,0,0,7.9%,13.5%,61.9%,2.0%,0.5%,14.2%,0.0%,21.6%,36.0%,75.9%,126,69,54.8%,140,70,50.0%,,,,
02M059,P.S. 059 Beekman Hill International,M,02,Elementary,,Y,535,535,0,0,23.6%,3.6%,8.2%,4.9%,0.6%,59.1%,0.2%,13.3%,5.2%,12.7%,218,185,84.9%,222,199,89.6%,,,,
02M077,P.S. 77 Lower Lab School,M,02,Elementary,,Y,364,364,0,0,45.1%,0.8%,7.4%,12.6%,0.0%,33.5%,0.5%,7.7%,0.8%,9.1%,167,165,98.8%,168,167,99.4%,,,,
02M089,P.S. 89,M,02,Elementary,,Y,340,340,0,0,16.8%,2.1%,14.1%,16.5%,0.3%,50.3%,0.0%,19.1%,4.1%,8.8%,121,116,95.9%,123,115,93.5%,,,,
02M114,East Side Middle School,M,02,Junior High-Intermediate-Middle,,Y,425,0,425,0,23.1%,3.1%,16.9%,7.1%,0.5%,48.9%,0.5%,23.8%,2.1%,24.9%,417,343,82.3%,281,236,84.0%,,,,
02M131,M.S. 131,M,02,Junior High-Intermediate-Middle,,Y,261,0,261,0,48.7%,12.6%,33.0%,1.9%,0.0%,3.4%,0.4%,36.0%,29.5%,90.8%,243,97,39.9%,160,86,53.8%,,,,
02M135,The Urban Assembly Early College High School of Emergency Medicine,M,02,High school,,Y,360,0,0,360,2.5%,35.3%,56.9%,0.8%,0.0%,3.3%,1.1%,16.9%,10.0%,88.6%,,,0.0%,,,,58,96.6%,61,95.1%
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,M,02,High school,,Y,339,0,0,339,4.1%,26.0%,65.8%,0.0%,0.0%,4.1%,0.0%,28.3%,6.2%,87.6%,,,0.0%,,,,77,84.4%,106,85.8%
02M158,P.S. 158 Bayard Taylor,M,02,Elementary,,Y,604,604,0,0,13.6%,2.5%,9.3%,7.3%,0.0%,67.2%,0.2%,18.4%,4.3%,14.2%,248,224,90.3%,254,223,87.8%,,,,
