,District,Total Enrollment,count
0,1,3605,15
1,2,35114,79
2,3,10168,28
3,4,7574,21
4,5,4881,19
5,6,9871,30
6,7,11157,35
7,8,14615,39
8,9,16476,50
9,10,19365,43
10,11,15822,37
11,12,12471,39
12,13,7288,30
13,14,8928,23
14,15,12066,25
15,16,3856,20
16,17,10796,38
17,18,7187,25
18,19,12051,39
19,20,8775,17
20,21,15367,18
21,22,7650,15
22,23,6322,24
23,24,18519,24
24,25,12319,18
25,26,10009,12
26,27,17215,27
27,28,10427,21
28,29,13488,28
29,30,12552,22
30,31,24903,27
31,32,4036,13
32,75,28683,59
33,79,4766,4
34,84,82302,153
